,nama,harga
0,ASUS ROG GL702ZC-GC276T - Black,23000000
1,ASUS ROG GL552VW FULLSET seplastik2nya,11250000
2,Jaket Hoodie Zipper Asus ROG Republic of Gamers,120000
3,Asus ROG GM501GS-EI027T ZEPHYRUS ,39500000
4,Topi Snapback Asus Rog,70000
5,ASUS ROG SERIES G771JW game berat libas,14000000
6,ASUS GAMING ROG GL503VD SSD,14250000
7,Garskin Laptop Asus ROG GL552 Series motif starwars- motif bisa request,130000
8,Asus ROG GL552VX muluss,9550000
9,ASUS ROG GL552VXK CORE i7 ,9850000
10,Laptop Asus ROG G550JX-CN024H,13000000
11,Asus ROG PC G21CN-ID761T,25950000
12,Jaket Hoodie Zipper ASUS ROG STRIX ,149000
13,asus ROG G501J fullset mulus,11500000
14,ASUS ROG GL553VE - FY404T Metal Black,14600000
15,Laptop Gaming Asus ROG GL553VD,10750000
16,Diskon Baterai asus rog gl552,472500
17,Tas Backpack Asus ROG original,1105000
18,Tas Backpack Asus ROG original,1105000
19,Asus ROG GL752VL T4044T,14999000
20,ASUS ROG GL552VW SECOND,11000000
21,LAPTOP ASUS ROG GL552VX CORE I7 ,8500000
22,Mobo asus Rog maximus Vgene i7 3770,3200000
23,Kaos ASUS Rog Republic of gamers logo,70000
24,Sale Baterai asus rog gl552,472500
25,Asus ROG GL503VD-FY387T,15000000
26,Jaket Asus ROG New Edition,149000
27,Logo Sticker Asus & Asus ROG,32000
28,asus rog gl553vd,13000000
29,Motherboard ASUS ROG STRIX B360 Gaming 1151,2559500
